"","Montag","Dienstag","Mittwoch","Donnerstag","Freitag","Samstag","Sonntag"
"Arithmetisches Mittel",2067.23076923077,2903.23076923077,3485.53846153846,3148.07142857143,2468.5,2060.15384615385,1634.07692307692
"Maximum",3109,4814,5364,5587,4768,3392,2675
"Anteil an Gesamtfällen",0.113591309677283,0.159528287930342,0.191525244626667,0.186288226218907,0.14607434959951,0.113202443096561,0.0897901388507302
